id,CEP,lat_new,lon_new,fonte
0,25251560,-22.6683716,-43.276997,awesomeapi
1,26520332,-22.8120379,-43.4247198,awesomeapi
2,25215255,-22.6832196,-43.2792806,awesomeapi
3,22713560,-22.9376308,-43.3929066,awesomeapi
4,26383060,-22.7053605,-43.5555703,awesomeapi
5,20231030,-22.9120986,-43.1887459,awesomeapi
6,23065020,-22.8719683,-43.6303609,awesomeapi
7,25901094,-22.6537941,-43.040854,awesomeapi
8,26587791,-22.8009441,-43.4331416,awesomeapi
9,22730001,-22.9185464,-43.3653582,awesomeapi
10,21941970,-22.8134098,-43.2494233,awesomeapi
