romaneio_prolog,clientes_locais,n_clientes,demanda_kg,volumes,valor_rs,rota_prolog
PRL204941-4,[23],1,1.056,2.0,227.24,RT ZONA NORTE
PRL204943-1,[4],1,2.04,3.0,866.81,RT BAIXADA
PRL204947-3,"[6, 21]",2,52.369,14.0,3109.2799999999997,RT ZONA OESTE
PRL204950-3,[7],1,10.74,4.0,2190.51,RT MAGÉ
PRL204953-8,"[17, 18]",2,4.404,2.0,653.3,RT ZONA NORTE
PRL204954-6,"[13, 16]",2,20.836,5.0,2621.18,RT BAIXADA
PRL204973-2,"[10, 11]",2,19.090999999999998,5.0,1364.98,RT ZONA NORTE
PRL204984-8,[12],1,183.03900000000002,3.0,627.56,RT ZONA NORTE
PRL204997-0,"[3, 9]",2,276.596,58.0,8557.95,RT ZONA OESTE
PRL205004-8,[20],1,0.169,2.0,192.79,RT BAIXADA
PRL205013-7,[5],1,3.36,5.0,575.76,RT CENTRO
PRL205017-0,"[1, 8]",2,17.54,12.0,2085.42,RT BAIXADA
PRL205019-6,[14],1,19.519000000000002,8.0,1828.25,RT ZONA OESTE
PRL205025-1,[22],1,3.3529999999999998,2.0,729.48,RT ZONA NORTE
PRL205029-3,[25],1,11.876999999999999,6.0,1530.3600000000001,RT ZONA NORTE
PRL205043-9,"[2, 15, 19]",3,33.44,12.0,3270.6099999999997,RT BAIXADA 2
PRL205045-5,[24],1,15.36,4.0,345.08,RT BAIXADA 1
