f_vuc,custo,y_VUC,y_FIO,km,custo_variavel,tempo_s,frota
0,257.66566266227716,1,0,171.77710844151815,257.66566266227716,75.2984688282013,VUC
50,307.66566266227716,1,0,171.7771084415181,257.66566266227716,30.530884265899658,VUC
100,357.66566266227716,1,0,171.7771084415181,257.66566266227716,46.889392137527466,VUC
150,407.66566266227716,1,0,171.7771084415181,257.66566266227716,50.26129722595215,VUC
200,457.66566266227716,1,0,171.7771084415181,257.66566266227716,55.32500863075256,VUC
250,507.66566266227716,1,0,171.77710844151815,257.66566266227716,87.23532223701477,VUC
300,557.6656626622771,1,0,171.77710844151815,257.6656626622771,22.947369813919067,VUC
350,607.6656626622771,1,0,171.77710844151815,257.6656626622771,51.02759885787964,VUC
400,657.6656626622771,1,0,171.77710844151815,257.6656626622771,25.729203701019287,VUC
450,707.6656626622771,1,0,171.77710844151815,257.6656626622771,26.62501835823059,VUC
500,757.6656626622771,1,0,171.7771084415181,257.6656626622771,69.62019944190979,VUC
550,807.6656626622771,1,0,171.77710844151815,257.6656626622771,55.04848313331604,VUC
600,857.6656626622771,1,0,171.7771084415181,257.6656626622771,38.013606786727905,VUC
650,907.6656626622771,1,0,171.77710844151815,257.6656626622771,27.430445194244385,VUC
700,957.6656626622771,1,0,171.7771084415181,257.6656626622771,55.57625198364258,VUC
750,1007.6656626622771,1,0,171.77710844151815,257.6656626622771,33.30774164199829,VUC
800,1057.665662662277,1,0,171.7771084415181,257.6656626622771,77.31431841850281,VUC
850,1107.665662662277,1,0,171.7771084415181,257.6656626622771,26.93525004386902,VUC
900,1157.665662662277,1,0,171.7771084415181,257.6656626622771,32.387654066085815,VUC
