romaneio_prolog,clientes_locais,n_clientes,demanda_kg,volumes,valor_rs,rota_prolog
PRL204937-6,"[37, 60]",2,26.25,7.0,1438.87,RT ZONA OESTE
PRL204941-4,"[23, 30, 43, 52]",4,20.557,7.0,1246.3600000000001,RT ZONA NORTE
PRL204943-1,[4],1,2.04,3.0,866.81,RT BAIXADA
PRL204947-3,"[6, 21]",2,52.369,14.0,3109.2799999999997,RT ZONA OESTE
PRL204950-3,[7],1,10.74,4.0,2190.51,RT MAGÉ
PRL204953-8,"[17, 18]",2,4.404,2.0,653.3,RT ZONA NORTE
PRL204954-6,"[13, 16, 40]",3,52.55,12.0,4148.35,RT BAIXADA
PRL204968-6,"[27, 31]",2,25.93,18.0,5803.47,RT ZONA NORTE
PRL204973-2,"[10, 11, 44]",3,31.090999999999998,7.0,1486.71,RT ZONA NORTE
PRL204984-8,[12],1,183.03900000000002,3.0,627.56,RT ZONA NORTE
PRL204989-9,"[54, 56]",2,34.87,6.0,1752.6699999999998,RT BAIXADA 2 | RT BAIXADA 3
PRL204990-2,"[41, 57]",2,18.727999999999998,7.0,2556.27,RT ZONA NORTE
PRL204997-0,"[3, 9]",2,276.596,58.0,8557.95,RT ZONA OESTE
PRL204998-8,"[33, 36]",2,84.102,20.0,4775.01,RT BAIXADA
PRL205004-8,"[20, 39]",2,1.677,5.0,703.17,RT BAIXADA
PRL205006-4,[49],1,44.17,14.0,2733.33,RT ZONA OESTE
PRL205009-9,[34],1,3.137,2.0,724.45,RT ZONA NORTE
PRL205013-7,"[5, 29]",2,7.846,6.0,961.81,RT CENTRO | RT ZONA SUL
PRL205014-5,"[26, 45, 50]",3,17.148,7.0,2978.3199999999997,RT ZONA NORTE
PRL205017-0,"[1, 8]",2,17.54,12.0,2085.42,RT BAIXADA
PRL205019-6,"[14, 59]",2,21.847,10.0,2247.48,RT ZONA OESTE
PRL205022-6,[48],1,5.89,16.0,1062.4,RT BAIXADA 2
PRL205025-1,[22],1,3.3529999999999998,2.0,729.48,RT ZONA NORTE
PRL205029-3,"[25, 35, 51]",3,22.604,11.0,3449.3,RT ZONA NORTE
PRL205031-5,[46],1,7.103,1.0,5029.85,RT ZONA NORTE
PRL205042-1,[58],1,36.01,10.0,2164.68,RT BAIXADA 1
PRL205043-9,"[2, 15, 19, 47]",4,37.196,15.0,4409.98,RT BAIXADA 2
PRL205045-5,[24],1,15.36,4.0,345.08,RT BAIXADA 1
PRL205048-0,"[28, 32, 38]",3,15.982000000000003,11.0,4871.24,RT BAIXADA 1
PRL205051-0,"[42, 53, 55]",3,52.652,17.0,5538.48,RT ZONA SUL
