tempo_s,custo,bound,gap_pct
1.0,2971.8318147,739.2729,75.12399940187638
2.0,2405.7792797,739.2729,69.27095905106528
3.0,2405.7792797,762.95453,68.28659484941859
4.0,1281.7792171,762.95453,40.476915226776
5.0,1239.6051347,762.95453,38.45180948006927
7.0,1196.8688586,762.95453,36.254124708997594
8.0,1191.4911199,763.02463,35.96052733787563
9.0,1191.4911199,765.09553,35.786719915779706
10.0,1191.4911199,765.68654,35.73711736397474
11.0,1191.4911199,765.68654,35.73711736397474
13.0,1191.4911199,767.66203,35.57131755506255
14.0,1170.0924428,767.66203,34.39304435100827
15.0,1170.09244,767.66203,34.39304419401257
16.0,1146.6138789,767.66203,33.04964782595743
18.0,1143.8997995,767.66203,32.89079774858375
19.0,1130.2079991,767.66203,32.077809517248184
20.0,1125.2163086,767.66203,31.776492738971317
28.0,1125.2163086,767.66203,31.776492738971317
31.0,1115.5467215,767.66203,31.185129658417456
36.0,1115.54672,767.66203,31.18512956588677
40.0,1115.54672,772.5295,30.748799117978677
41.0,1113.9928797,774.13596,30.50799748302916
45.0,1108.3043656,776.91418,29.900647862250015
49.0,1106.4819743,776.92201,29.78448559982113
50.0,1106.48197,776.92201,29.78448532695025
55.0,1106.48197,776.92201,29.78448532695025
59.0,1106.3491945,776.92201,29.776058602264392
60.0,1106.34919,776.92201,29.776058316633282
65.0,1106.34919,776.94983,29.773543739838587
70.0,1106.34919,777.28979,29.742815647562402
75.0,1106.34919,778.6926,29.61601933291965
80.0,1106.34919,778.6926,29.61601933291965
82.0,1105.0424568,778.6926,29.53278897039389
85.0,1104.1405755,778.6926,29.47523012209056
86.0,1101.3476035,778.6926,29.296382220710946
87.0,1099.282346,778.6926,29.163549034198716
88.0,1099.2295168,778.6926,29.160144619580876
90.0,1099.2295168,778.6926,29.160144619580876
95.0,1096.9982663,778.6926,29.01605919338362
100.0,1096.9982663,778.6926,29.01605919338362
105.0,1096.9982663,778.6926,29.01605919338362
110.0,1096.9982663,778.6926,29.01605919338362
115.0,1096.9982663,778.6926,29.01605919338362
120.0,1096.9982663,778.6926,29.01605919338362
125.0,1096.9982663,778.6926,29.01605919338362
134.0,1096.9982663,779.12019,28.977081009631135
135.0,1096.9982663,779.77191,28.91767161765477
140.0,1096.9982663,781.46052,28.763741565814733
146.0,1096.9982663,781.46052,28.763741565814733
150.0,1096.9982663,782.30374,28.686875446158588
155.0,1096.9982663,782.44671,28.67384260878845
160.0,1096.9982663,782.97535,28.625652924607547
165.0,1096.9982663,783.30913,28.59522625847199
214.0,1096.9982663,783.4245,28.584709377676077
216.0,1096.9982663,783.4245,28.584709377676077
221.0,1096.9982663,783.4245,28.584709377676077
225.0,1096.9982663,783.4245,28.584709377676077
232.0,1096.9982663,783.4245,28.584709377676077
237.0,1096.9982663,783.4245,28.584709377676077
240.0,1096.9982663,783.4245,28.584709377676077
247.0,1096.9982663,783.4245,28.584709377676077
250.0,1096.9982663,783.4245,28.584709377676077
257.0,1096.9982663,783.4245,28.584709377676077
261.0,1096.9982663,783.4245,28.584709377676077
266.0,1096.9982663,783.4245,28.584709377676077
271.0,1096.9982663,783.4245,28.584709377676077
276.0,1096.9982663,783.4245,28.584709377676077
280.0,1096.9982663,783.4245,28.584709377676077
285.0,1096.9982663,783.4245,28.584709377676077
290.0,1096.9982663,783.4245,28.584709377676077
295.0,1096.9982663,783.4245,28.584709377676077
301.0,1096.9982663,783.4245,28.584709377676077
308.0,1096.9982663,783.4245,28.584709377676077
310.0,1096.9982663,783.4245,28.584709377676077
317.0,1096.9982663,783.4245,28.584709377676077
321.0,1096.9982663,783.4245,28.584709377676077
327.0,1096.9982663,783.4245,28.584709377676077
330.0,1096.9982663,783.46884,28.580667438744886
335.0,1096.9982663,783.56039,28.572321937861943
343.0,1096.9982663,783.77386,28.552862472285934
346.0,1096.9982663,783.94473,28.537286330987524
352.0,1096.9982663,784.05462,28.527268995192582
356.0,1096.9982663,784.05826,28.526937180629893
360.0,1096.9982663,784.25107,28.509361036170674
367.0,1096.9982663,784.39846,28.495925281117287
370.0,1096.9982663,784.40299,28.495512336070867
378.0,1096.9982663,784.5253,28.484362819817523
382.0,1096.9982663,784.69488,28.468904272141604
385.0,1096.9982663,784.69656,28.46875112695883
390.0,1096.9982663,784.81706,28.45776660640836
393.0,1023.0452561,784.81748,23.2861424926752
397.0,1023.0452561,784.91866,23.27625241211457
400.0,1023.0452561,784.92368,23.275761720234616
405.0,1023.0452561,785.00542,23.267771848866502
412.0,917.4935813,785.10076,14.429836240642912
416.0,917.49358,785.23393,14.415321576419093
421.0,917.49358,785.30725,14.407330239847564
428.0,917.49358,785.40342,14.396848422634191
431.0,917.49358,785.40342,14.396848422634191
435.0,917.49358,785.50824,14.385423819532337
441.0,917.49358,785.58333,14.37723956607957
448.0,917.49358,785.67351,14.367410614469911
450.0,917.49358,785.67378,14.367381186471082
457.0,917.49358,785.75227,14.358826358218224
462.0,917.49358,785.78675,14.35506829377487
465.0,917.49358,785.78675,14.35506829377487
470.0,917.49358,785.8717,14.345809373401819
475.0,917.49358,785.93955,14.33841422628809
480.0,917.49358,786.01756,14.329911714477605
486.0,917.49358,786.04248,14.327195619178067
490.0,917.49358,786.06799,14.32441521825144
492.0,913.0437462,786.12002,13.901165932984519
495.0,913.0437462,786.19119,13.893371125748146
500.0,913.0437462,786.22897,13.889233317438606
504.0,894.619153,786.22897,12.115790572616993
505.0,894.61915,786.22897,12.115790277907642
510.0,894.61915,786.22897,12.115790277907642
511.0,885.9348117,786.22897,11.254309051100126
514.0,885.7673485,786.22897,11.237530788255288
515.0,885.7673485,786.22897,11.237530788255288
520.0,885.7673485,786.22897,11.237530788255288
522.0,882.5950217,786.22897,10.918490284976412
525.0,882.59502,786.22897,10.918490113393114
530.0,882.59502,791.55249,10.3153233291527
535.0,882.59502,794.96603,9.928561572894434
540.0,882.59502,797.69019,9.61990812048769
541.0,880.7726304,798.27705,9.36627428608163
546.0,880.77263,799.33955,9.245641522716255
550.0,880.77263,800.44208,9.120463927222627
555.0,880.77263,802.12198,8.92973365895805
561.0,880.77263,803.26844,8.799568397124238
565.0,880.77263,803.84841,8.733720528986023
572.0,880.77263,804.80445,8.62517492170483
575.0,880.77263,805.20635,8.579544530124648
580.0,880.77263,805.74195,8.518734284465681
581.0,880.2377694,805.74195,8.463147343788593
585.0,880.2377694,805.74195,8.463147343788593
590.0,880.2377694,806.21382,8.409540237117662
596.0,880.2377694,806.65562,8.359349252890631
601.0,880.2377694,806.91124,8.330309371975924
603.0,855.8444882,807.27806,5.674679088270375
605.0,855.8444882,807.27806,5.674679088270375
612.0,855.8444882,807.73569,5.621207925423667
615.0,855.8444882,808.31548,5.5534631414128
620.0,855.8444882,808.78022,5.499161220163364
625.0,855.8444882,809.4391,5.422175271304147
630.0,855.8444882,809.72635,5.388611930772025
635.0,855.8444882,809.93614,5.364099299926996
640.0,855.8444882,810.24569,5.3279303458392056
645.0,855.8444882,810.50513,5.297616427413943
648.0,852.7643899,810.66179,4.937190201497176
651.0,852.7643899,810.72708,4.929533924948426
656.0,852.7643899,811.03787,4.8930889228258065
660.0,852.7643899,811.22691,4.8709210178055065
667.0,852.7643899,811.39482,4.851230936701193
670.0,852.7643899,811.55885,4.8319958464532
675.0,852.7643899,811.70484,4.81487622915573
680.0,852.7643899,812.00578,4.779586294026607
685.0,852.7643899,812.28838,4.746447011553386
691.0,852.7643899,812.51433,4.719950830113808
696.0,852.7643899,812.70489,4.6976046812528836
700.0,848.9792974,812.88381,4.251633403846522
706.0,848.9792974,813.11552,4.2243406299579815
710.0,848.9792974,813.30021,4.202586271451755
715.0,848.9792974,813.41727,4.188797949362095
721.0,848.9792974,813.68804,4.156904356570233
726.0,848.9792974,813.78633,4.1453269246704165
730.0,848.9792974,813.94735,4.126360620015741
735.0,848.9792974,814.16413,4.10082642846786
740.0,848.9792974,814.42608,4.069971730267071
745.0,848.9792974,814.60992,4.048317491987875
750.0,848.9792974,814.72748,4.034470275647023
752.0,848.6678291,814.75564,3.9959319697511533
756.0,848.6678291,814.85384,3.984360893691376
760.0,848.6678291,814.96358,3.9714300394469815
765.0,848.6678291,815.05798,3.960306723967924
771.0,848.6678291,815.21924,3.9413051789027613
775.0,848.6678291,815.28307,3.9337839794639153
780.0,848.6678291,815.32264,3.929121377837789
786.0,848.6678291,815.44559,3.9146339664167096
790.0,848.6678291,815.53083,3.904589989600669
795.0,848.6678291,815.62104,3.893960389077739
801.0,848.6678291,815.7621,3.877339044994314
807.0,848.6678291,815.83115,3.8692027639156295
811.0,848.6678291,815.87988,3.8634608236264993
815.0,848.6678291,815.95744,3.854321794510442
820.0,848.6678291,816.03245,3.845483236310402
826.0,848.6678291,816.12332,3.834775866844499
830.0,848.6678291,816.21912,3.823487586940978
835.0,848.6678291,816.27608,3.8167758914993812
841.0,848.6678291,816.32231,3.8113285305396687
846.0,848.6678291,816.41584,3.8003077286672595
850.0,848.6678291,816.47809,3.7929727033646077
855.0,848.6678291,816.54361,3.7852523682990644
862.0,848.6678291,816.60213,3.778356855355902
865.0,848.6678291,816.65296,3.772367468430051
867.0,848.4906129,816.67135,3.750101935865508
871.0,848.49061,816.70369,3.746290132780597
875.0,848.49061,816.7435,3.7415982717828675
881.0,848.49061,816.78324,3.7369146607291235
885.0,848.49061,816.83613,3.730681238770565
890.0,848.49061,816.86972,3.726722444223622
895.0,848.49061,816.91696,3.7211549106005934
901.0,848.49061,816.94392,3.7179775036048897
905.0,848.49061,816.9765,3.7141377439639505
910.0,848.49061,816.994,3.712075257968962
916.0,848.49061,817.06194,3.7040680980547207
