solver,time_limit,rotulo,custo,bound,gap_pct,acima_do_melhor_pct
gurobi_direct,1,1s,2971.8318147,739.2729,75.12399940187638,250.86633976582746
gurobi_direct,5,5s,1239.6051347,762.95453,38.45180948006927,46.35273578260024
gurobi_direct,15,15s,1170.09244,767.66203,34.39304419401257,38.1457892669844
gurobi_direct,30,30s,1125.2163086,767.66203,31.776492738971317,32.84753386461475
gurobi_direct,60,1min,1106.34919,776.92201,29.776058316633282,30.620006447899865
gurobi_direct,120,2min,1096.9982663,778.6926,29.01605919338362,29.515999028698158
gurobi_direct,300,5min,1096.9982663,783.4245,28.584709377676077,29.515999028698158
gurobi_direct,600,10min,880.2377694,806.65562,8.359349252890631,3.924388569139739
gurobi_direct,900,15min,848.49061,816.91696,3.7211549106005934,0.17619206570982443
gurobi_direct,1800,30min,848.49061,818.70917,3.5099315948823495,0.17619206570982443
gurobi_direct,3600,1h,846.9982662581533,820.7464227362613,3.0993975510560086,0.0
appsi_highs,5,5s,inf,739.2729021,inf,inf
appsi_highs,15,15s,inf,739.2729021,inf,inf
appsi_highs,30,30s,inf,739.2729021,inf,inf
appsi_highs,60,1min,inf,739.2729021,inf,inf
appsi_highs,120,2min,1535.294633,763.093439,50.296612611163866,81.2630195552329
appsi_highs,300,5min,1416.150401,764.2079446,46.03624416867287,67.19637541363953
appsi_highs,600,10min,1404.353144,768.9452885,45.24558927465897,65.80354410925945
appsi_highs,900,15min,1404.353144,768.9452885,45.24558927465897,65.80354410925945
appsi_highs,1800,30min,1379.700254,774.7757131,43.844635031863966,62.892925400568245
appsi_highs,3600,1h,931.4143452679175,800.2200195314102,14.08549550509336,9.966499622566563
